,location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO,ET
1027,1,0,0,0,1,0,0,1,0,0,0.02,0.008,0.006,0.4,
1028,1,0,0,0,1,0,0,1,0,0,0.025,0.003,0.006,0.6,
1029,1,0,0,0,1,0,0,1,0,0,0.026000000000000002,0.002,0.006,0.5,
1030,1,0,0,0,1,0,0,1,0,0,0.024,0.002,0.008,0.5,
1031,1,0,0,0,1,0,0,1,0,0,0.026000000000000002,0.002,0.006999999999999999,0.5,
1032,1,0,0,0,1,0,1,0,0,0,0.017,0.009000000000000001,0.004,0.4,
1033,1,0,0,0,1,0,1,0,0,0,0.018000000000000002,0.008,0.004,0.4,
1034,1,0,0,0,1,0,1,0,0,0,0.016,0.01,0.004,0.3,
1035,1,0,0,0,1,0,1,0,0,0,0.024,0.005,0.004,0.4,
1036,1,0,0,0,1,0,1,0,0,0,0.025,0.004,0.004,0.4,
1037,1,0,0,0,1,0,1,0,0,0,0.02,0.008,0.005,0.3,
1038,1,0,0,0,1,0,0,0,0,1,0.026000000000000002,0.005,0.005,0.4,
1039,1,0,0,0,1,0,0,0,0,1,0.024,0.008,0.005,0.4,
1040,1,0,0,0,1,0,0,0,0,1,0.025,0.006,0.005,0.4,
1041,1,0,0,0,1,0,0,0,0,1,0.024,0.008,0.005,0.4,
1042,1,0,0,0,1,0,0,0,0,1,0.023,0.009000000000000001,0.005,0.3,
1043,1,0,0,0,1,0,0,0,0,1,0.02,0.011000000000000001,0.005,0.3,
1044,1,0,0,0,1,0,0,0,1,0,0.015,0.013999999999999999,0.005,0.3,
1045,1,0,0,0,1,0,0,0,1,0,0.013000000000000001,0.017,0.005,0.3,
1046,1,0,0,0,1,0,0,0,1,0,0.011000000000000001,0.018000000000000002,0.006,0.3,
1047,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.019,0.005,0.3,
1048,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.019,0.006,0.3,
1049,1,0,0,0,1,0,0,0,1,0,0.013000000000000001,0.016,0.006,0.3,
1050,1,0,0,0,1,0,0,1,0,0,0.025,0.005,0.006999999999999999,0.6,
1051,1,0,0,0,1,0,0,1,0,0,0.027000000000000003,0.004,0.006999999999999999,0.5,
1052,1,0,0,0,1,0,0,1,0,0,0.027999999999999997,0.003,0.006999999999999999,0.6,
1053,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.002,0.006999999999999999,0.6,
1054,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.002,0.008,0.6,
1055,1,0,0,0,1,0,0,1,0,0,0.026000000000000002,0.004,0.006,0.5,
1056,1,0,0,0,1,0,1,0,0,0,0.016,0.012,0.006,0.4,
1057,1,0,0,0,1,0,1,0,0,0,0.012,0.015,0.006,0.4,
1058,1,0,0,0,1,0,1,0,0,0,0.011000000000000001,0.016,0.006,0.4,
1059,1,0,0,0,1,0,1,0,0,0,0.015,0.013000000000000001,0.006,0.4,
1060,1,0,0,0,1,0,1,0,0,0,0.017,0.012,0.006,0.4,
1061,1,0,0,0,1,0,1,0,0,0,0.023,0.008,0.006,0.4,
1062,1,0,0,0,1,0,0,0,0,1,0.021,0.009000000000000001,0.006,0.4,
1063,1,0,0,0,1,0,0,0,0,1,0.018000000000000002,0.012,0.005,0.4,
1064,1,0,0,0,1,0,0,0,0,1,0.017,0.013000000000000001,0.005,0.4,
1065,1,0,0,0,1,0,0,0,0,1,0.02,0.011000000000000001,0.005,0.4,
1066,1,0,0,0,1,0,0,0,0,1,0.019,0.012,0.006,0.3,
1067,1,0,0,0,1,0,0,0,0,1,0.021,0.011000000000000001,0.006,0.4,
1068,1,0,0,0,1,0,0,0,1,0,0.017,0.018000000000000002,0.006999999999999999,0.5,
1069,1,0,0,0,1,0,0,0,1,0,0.018000000000000002,0.021,0.006999999999999999,0.7,
1070,1,0,0,0,1,0,0,0,1,0,0.017,0.023,0.008,0.7,
1071,1,0,0,0,1,0,0,0,1,0,0.026000000000000002,0.015,0.006999999999999999,0.6,
1072,1,0,0,0,1,0,0,0,1,0,0.027999999999999997,0.01,0.006999999999999999,0.5,
1073,1,0,0,0,1,0,0,0,1,0,,,,,
1074,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.005,0.006999999999999999,0.7,
1075,1,0,0,0,1,0,0,1,0,0,0.031,0.002,0.006,0.9,
1076,1,0,0,0,1,0,0,1,0,0,0.032,0.002,0.006999999999999999,0.9,
1077,1,0,0,0,1,0,0,1,0,0,0.033,0.002,0.006999999999999999,0.8,
1078,1,0,0,0,1,0,0,1,0,0,0.032,0.002,0.006999999999999999,0.7,
1079,1,0,0,0,1,0,0,1,0,0,0.033,0.002,0.006999999999999999,0.7,
1080,1,0,0,0,1,0,1,0,0,0,0.033,0.002,0.006999999999999999,0.7,
1081,1,0,0,0,1,0,1,0,0,0,0.033,0.002,0.006,0.8,
1082,1,0,0,0,1,0,1,0,0,0,0.036000000000000004,0.002,0.006,0.9,
1083,1,0,0,0,1,0,1,0,0,0,0.034,0.002,0.006,0.9,
1084,1,0,0,0,1,0,1,0,0,0,0.038,0.002,0.006999999999999999,0.9,
1085,1,0,0,0,1,0,1,0,0,0,0.04,0.002,0.006999999999999999,1.0,
1086,1,0,0,0,1,0,0,0,0,1,0.04,0.002,0.006999999999999999,0.9,
1087,1,0,0,0,1,0,0,0,0,1,0.042,0.002,0.008,1.1,
1088,1,0,0,0,1,0,0,0,0,1,0.042,0.002,0.008,1.0,
1089,1,0,0,0,1,0,0,0,0,1,0.042,0.002,0.006999999999999999,1.0,
1090,1,0,0,0,1,0,0,0,0,1,0.044000000000000004,0.002,0.006999999999999999,0.8,
1091,1,0,0,0,1,0,0,0,0,1,0.042,0.002,0.006999999999999999,0.7,
1092,1,0,0,0,1,0,0,0,1,0,0.037000000000000005,0.004,0.006999999999999999,0.6,
1093,1,0,0,0,1,0,0,0,1,0,0.033,0.006,0.006999999999999999,0.6,
1094,1,0,0,0,1,0,0,0,1,0,0.032,0.008,0.008,0.7,
1095,1,0,0,0,1,0,0,0,1,0,0.023,0.012,0.006999999999999999,0.5,
1096,1,0,0,0,1,0,0,0,1,0,0.024,0.009000000000000001,0.006999999999999999,0.6,
1097,1,0,0,0,1,0,0,0,1,0,0.026000000000000002,0.006,0.006999999999999999,0.8,
1098,1,0,0,0,1,0,0,1,0,0,0.027999999999999997,0.004,0.006,1.0,
1099,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.004,0.006,1.0,
1100,1,0,0,0,1,0,0,1,0,0,0.03,0.003,0.006,1.0,
1101,1,0,0,0,1,0,0,1,0,0,0.032,0.002,0.006,1.0,
1102,1,0,0,0,1,0,0,1,0,0,0.031,0.002,0.006,1.0,
1103,1,0,0,0,1,0,0,1,0,0,0.03,0.002,0.006,0.9,
1104,1,0,0,0,1,0,1,0,0,0,0.031,0.002,0.006,0.8,
1105,1,0,0,0,1,0,1,0,0,0,0.031,0.002,0.006,0.8,
1106,1,0,0,0,1,0,1,0,0,0,0.032,0.002,0.005,0.7,
1107,1,0,0,0,1,0,1,0,0,0,0.031,0.002,0.006,0.7,
1108,1,0,0,0,1,0,1,0,0,0,0.03,0.002,0.006,0.6,
1109,1,0,0,0,1,0,1,0,0,0,0.032,0.002,0.006,0.6,
1110,1,0,0,0,1,0,0,0,0,1,0.032,0.003,0.006,0.6,
1111,1,0,0,0,1,0,0,0,0,1,0.033,0.002,0.006,0.7,
1112,1,0,0,0,1,0,0,0,0,1,0.033,0.002,0.006,0.8,
1113,1,0,0,0,1,0,0,0,0,1,0.034,0.002,0.006,0.9,
1114,1,0,0,0,1,0,0,0,0,1,0.035,0.002,0.006999999999999999,0.8,
1115,1,0,0,0,1,0,0,0,0,1,0.036000000000000004,0.003,0.008,0.7,
1116,1,0,0,0,1,0,0,0,1,0,0.035,0.004,0.008,0.7,
1117,1,0,0,0,1,0,0,0,1,0,0.033,0.005,0.008,0.6,
1118,1,0,0,0,1,0,0,0,1,0,0.03,0.006999999999999999,0.008,0.5,
1119,1,0,0,0,1,0,0,0,1,0,0.027999999999999997,0.006999999999999999,0.006999999999999999,0.5,
1120,1,0,0,0,1,0,0,0,1,0,0.025,0.009000000000000001,0.006999999999999999,0.5,
1121,1,0,0,0,1,0,0,0,1,0,0.024,0.009000000000000001,0.006,0.5,
1122,1,0,0,0,1,0,0,1,0,0,0.025,0.008,0.006,0.6,
1123,1,0,0,0,1,0,0,1,0,0,0.027999999999999997,0.005,0.006,0.7,
1124,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.004,0.006,0.6,
1125,1,0,0,0,1,0,0,1,0,0,0.028999999999999998,0.004,0.006,0.5,
1126,1,0,0,0,1,0,0,1,0,0,0.031,0.002,0.006999999999999999,0.6,
1127,1,0,0,0,1,0,0,1,0,0,0.024,0.006999999999999999,0.006,0.5,
1128,1,0,0,0,1,0,1,0,0,0,0.017,0.013000000000000001,0.006,0.5,
1129,1,0,0,0,1,0,1,0,0,0,0.019,0.012,0.006,0.5,
1130,1,0,0,0,1,0,1,0,0,0,0.018000000000000002,0.013000000000000001,0.006,0.5,
1131,1,0,0,0,1,0,1,0,0,0,0.015,0.016,0.006,0.4,
1132,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.017,0.006,0.4,
1133,1,0,0,0,1,0,1,0,0,0,0.013999999999999999,0.017,0.006,0.4,
1134,1,0,0,0,1,0,0,0,0,1,0.016,0.015,0.006,0.4,
1135,1,0,0,0,1,0,0,0,0,1,0.026000000000000002,0.009000000000000001,0.006999999999999999,0.5,
1136,1,0,0,0,1,0,0,0,0,1,0.034,0.003,0.006,0.5,
1137,1,0,0,0,1,0,0,0,0,1,0.03,0.006999999999999999,0.006,0.5,
1138,1,0,0,0,1,0,0,0,0,1,0.024,0.011000000000000001,0.006,0.5,
1139,1,0,0,0,1,0,0,0,0,1,0.019,0.015,0.006,0.4,
1140,1,0,0,0,1,0,0,0,1,0,0.015,0.019,0.006,0.4,
1141,1,0,0,0,1,0,0,0,1,0,0.01,0.023,0.006,0.3,
1142,1,0,0,0,1,0,0,0,1,0,0.008,0.023,0.006,0.3,
1143,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.022000000000000002,0.005,0.3,
1144,1,0,0,0,1,0,0,0,1,0,0.009000000000000001,0.021,0.006,0.3,
1145,1,0,0,0,1,0,0,0,1,0,0.01,0.019,0.006,0.3,
1146,1,0,0,0,1,0,0,1,0,0,0.013999999999999999,0.015,0.006,0.4,
1147,1,0,0,0,1,0,0,1,0,0,0.018000000000000002,0.01,0.006,0.5,
1148,1,0,0,0,1,0,0,1,0,0,0.022000000000000002,0.006,0.006,0.5,
1149,1,0,0,0,1,0,0,1,0,0,0.022000000000000002,0.005,0.006,0.5,
1150,1,0,0,0,1,0,0,1,0,0,0.02,0.006,0.006,0.4,
1151,1,0,0,0,1,0,0,1,0,0,0.013999999999999999,0.011000000000000001,0.006,0.4,
1152,1,0,0,0,1,0,1,0,0,0,0.011000000000000001,0.013999999999999999,0.006,0.4,
1153,1,0,0,0,1,0,1,0,0,0,0.01,0.016,0.005,0.4,
1154,1,0,0,0,1,0,1,0,0,0,0.01,0.016,0.005,0.4,
1155,1,0,0,0,1,0,1,0,0,0,0.009000000000000001,0.016,0.005,0.4,
1156,1,0,0,0,1,0,1,0,0,0,0.012,0.013999999999999999,0.005,0.4,
1157,1,0,0,0,1,0,1,0,0,0,0.015,0.013000000000000001,0.005,0.4,
1158,1,0,0,0,1,0,0,0,0,1,0.013999999999999999,0.013999999999999999,0.005,0.4,
1159,1,0,0,0,1,0,0,0,0,1,0.012,0.015,0.005,0.4,
1160,1,0,0,0,1,0,0,0,0,1,0.016,0.012,0.005,0.4,
1161,1,0,0,0,1,0,0,0,0,1,0.015,0.013999999999999999,0.005,0.3,
